"face_id","x","y","w","h","annot_type_id"
"39341","62","64","348","348","1"
"39342","110","25","88","88","1"
"39343","63","128","262","262","1"
"39344","181","341","276","276","1"
"39345","323","334","262","262","1"
"39346","312","172","192","192","1"
"39348","25","62","277","277","1"
"39349","161","141","184","184","1"
"39350","340","50","211","211","1"
"39351","132","65","201","201","1"
"39352","88","52","650","650","1"
"39353","247","87","208","208","1"
"39354","420","300","985","985","1"
"39355","160","223","645","645","1"
"39356","121","85","382","382","1"
"39357","167","101","189","189","1"
"39358","396","46","417","417","1"
"39359","33","168","112","112","1"
"39360","285","79","94","94","1"
"39361","362","129","106","106","1"
"39362","151","146","166","166","1"
"39363","165","125","116","116","1"
"39365","287","355","996","996","1"
"39366","443","176","250","250","1"
"39367","288","114","178","178","1"
"39368","305","-10","507","507","1"
"39369","105","71","124","124","1"
"39370","45","177","189","189","1"
"39371","129","112","177","177","1"
"39372","68","-36","464","464","1"
"39373","267","98","285","285","1"
"39374","123","344","696","696","1"
"39375","89","113","204","204","1"
"39376","311","57","54","54","1"
"39377","194","58","50","50","1"
"39378","311","47","46","46","1"
"39379","463","28","471","471","1"
"39380","781","311","739","739","1"
"39381","129","97","124","124","1"
"39382","321","150","298","298","1"
"39385","81","6","298","298","1"
"39386","187","143","222","222","1"
"39387","43","111","201","201","1"
"39388","175","41","197","197","1"
"39389","145","99","81","81","1"
"39390","108","106","93","93","1"
"39391","288","169","187","187","1"
"39392","121","190","190","190","1"
"39393","66","70","228","228","1"
"39394","109","27","83","83","1"
"39395","357","371","322","322","1"
"39396","162","158","87","87","1"
"39397","110","122","76","76","1"
"39398","234","95","85","85","1"
"39399","195","121","355","355","1"
"39400","153","159","218","218","1"
"39401","243","95","185","185","1"
"39402","770","159","256","256","1"
"39403","111","158","259","259","1"
"39404","150","168","197","197","1"
"39405","135","130","154","154","1"
"39406","353","112","383","383","1"
"39407","310","714","1657","1657","1"
"39408","111","144","132","132","1"
"39409","68","60","90","90","1"
"39410","265","343","1042","1042","1"
"39411","363","289","1061","1061","1"
"39412","108","142","56","56","1"
"39413","234","145","171","171","1"
