"face_id","sex","occluded","glasses","bw","annot_type_id"
"39341","m","0","0","1","0"
"39342","f","0","0","0","0"
"39343","f","0","0","0","0"
"39344","f","0","0","0","0"
"39345","f","0","0","0","0"
"39346","f","0","0","0","0"
"39348","f","1","0","0","0"
"39349","f","0","0","0","0"
"39350","f","0","0","1","0"
"39351","f","0","0","1","0"
"39352","f","0","0","0","0"
"39353","m","0","0","1","0"
"39354","m","0","0","0","0"
"39355","m","0","0","0","0"
"39356","f","0","0","1","0"
"39357","f","0","0","0","0"
"39358","f","1","0","0","0"
"39359","f","0","0","0","0"
"39360","m","0","0","0","0"
"39361","m","1","0","0","0"
"39362","f","0","0","0","0"
"39363","f","0","0","0","0"
"39365","f","0","0","0","0"
"39366","m","0","1","0","0"
"39367","f","0","0","0","0"
"39368","f","0","0","0","0"
"39369","f","0","0","0","0"
"39370","m","0","0","0","0"
"39371","f","0","0","0","0"
"39372","m","0","0","1","0"
"39373","f","0","0","1","0"
"39374","f","0","0","1","0"
"39375","f","0","1","0","0"
"39376","f","0","0","0","0"
"39377","m","0","0","1","0"
"39378","m","0","0","1","0"
"39379","f","0","0","0","0"
"39380","f","0","1","0","0"
"39381","f","0","0","0","0"
"39382","f","0","1","0","0"
"39385","f","0","0","1","0"
"39386","f","0","0","0","0"
"39387","f","0","0","0","0"
"39388","m","0","0","0","0"
"39389","f","0","0","0","0"
"39390","f","0","0","0","0"
"39391","m","0","0","1","0"
"39392","f","1","0","1","0"
"39393","f","0","0","1","0"
"39394","f","0","0","0","0"
"39395","f","0","0","0","0"
"39396","f","0","0","1","0"
"39397","f","0","0","0","0"
"39398","f","0","0","0","0"
"39399","f","0","0","0","0"
"39400","f","0","0","0","0"
"39401","m","0","0","1","0"
"39402","f","0","1","1","0"
"39403","f","0","0","1","0"
"39404","f","0","0","0","0"
"39405","f","0","0","1","0"
"39406","f","0","0","0","0"
"39407","f","0","0","0","0"
"39408","f","0","0","0","0"
"39409","m","1","1","0","0"
"39410","f","0","0","1","0"
"39411","f","0","0","0","0"
"39412","f","0","0","0","0"
"39413","f","0","0","0","0"
"39414","f","0","0","0","0"
"39415","f","1","0","0","0"
"39417","f","0","0","0","0"
"39418","f","0","0","0","0"
"39419","f","0","0","0","0"
"39420","f","0","0","0","0"
"39423","f","0","0","0","0"
"39424","f","0","0","0","0"
"39425","m","0","0","1","0"
"39426","f","0","0","1","0"
